p3,p1128,9.38447228694E-4
p3,p2613,9.38447228694E-4
p3,p1309,9.38447228694E-4
p4,p3,7.332625305620001E-4
p4,p1128,0.001015500551204
p4,p2613,0.001015500551204
p4,p1309,0.001015500551204
p5,p1756,4.528957996129E-4
p5,p850,5.042468894462E-4
p5,p2064,5.209591279792E-4
p5,p535,5.623227245055999E-4
p5,p1657,5.731636990475E-4
p5,p963,6.475492523882E-4
p5,p536,7.182821558857E-4
p5,p1773,8.288890282516E-4
p5,p1719,8.505105798292001E-4
p5,p2440,9.656650344494E-4
p5,p2237,9.798861828928E-4
p5,p865,9.9875237405326E-4
p5,p2409,0.0011268480721437
p5,p2421,0.00115601380278626
p5,p2295,0.00119551592296902
p6,p150,4.7716181926E-4
p6,p815,4.7716181926E-4
p8,p126,0.001165461976833
p10,p975,9.278756256907101E-4
p10,p799,0.0011828376260781
p11,p2343,7.0497733052E-4
p11,p12,7.457903843879999E-4
p11,p1666,7.48307381746E-4
p11,p2041,8.518442672479999E-4
p11,p1444,9.578007163809998E-4
p11,p1777,9.999519630735998E-4
p11,p2209,0.0010435464302958998
p11,p1015,0.0010998804370759999
p11,p1622,0.0011563344529213998
p11,p1552,0.0011932450602989998
p12,p1444,6.47341123147E-4
p12,p1777,6.894923698396E-4
p12,p2209,7.330868370619E-4
p12,p11,7.45790384388E-4
p12,p1622,8.458748596874E-4
p12,p1524,9.098689297197E-4
p12,p2343,0.0010934951362000002
p12,p1666,0.001136825187426
p13,p1355,6.88516319944E-4
p13,p21,6.88516319944E-4
p13,p1683,6.88516319944E-4
p13,p2164,6.88516319944E-4
p13,p1431,0.0011704270079839999
p14,p689,4.59280796466E-4
p14,p1326,0.001068157329827
p15,p1439,0.001031028439907
p18,p1281,9.89809412919E-4
p19,p1891,4.966600337459E-4
p19,p959,4.966600337459E-4
p19,p2493,5.14001912495E-4
p19,p1404,0.001033992113691
p20,p347,5.03356114984E-4
p21,p1355,3.37491487102E-4
p21,p1683,3.37491487102E-4
p21,p2164,3.37491487102E-4
p21,p1431,8.19402175142E-4
p22,p1708,0.001048823443053
p24,p1989,3.892602162042E-4
p24,p2013,4.638786906225E-4
p24,p1193,6.131147432085E-4
p24,p1163,7.008654140734999E-4
p24,p1454,8.466499425612999E-4
p24,p1179,9.740279444612999E-4
p24,p1724,0.0011142824680332
p28,p1410,3.70737352962E-4
p28,p951,3.70737352962E-4
p28,p196,4.157474617581E-4
p28,p2603,9.730772805521E-4
p28,p430,9.730772805521E-4
p29,p2090,6.033330868123E-4
p29,p2123,7.504896899513E-4
p29,p2492,9.062432709573E-4
